"pais","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Reino Unido",42.3629280358861,42.9743677458461,41.707113696722,42.3666473751125,40.1511916498935,39.4964134644923,38.6917704455536,37.6766681082587,37.1691975592602,37.0213121846788,NA
"República Checa",35.2578573883787,35.2184146026311,35.1625718468276,36.8071278392241,35.0831403997142,34.680161686165,33.4067121968117,32.9617092317727,32.0924967908375,32.5808662388731,NA
"Rumania",34.4299544316158,35.3535372657109,34.9883986404523,33.40090466766,31.5909088763185,32.4254128202018,33.2147701658659,31.8979621123268,31.5804007410225,33.3623661090919,NA
"Federación de Rusia",32.1089747155738,27.3772390022191,23.2846855511917,24.1743856810078,24.5563291512568,26.4522200570256,30.64510388854,30.8848360755126,30.6242282668427,28.9402188855765,NA
"San Marino",31.3856989641387,32.7650086068111,36.8434993112314,39.8064742269807,41.4124965551601,42.6451791988131,42.1413348306998,42.1988741238863,40.4312570048309,NA,NA
"Serbia",35.8792327535917,36.5610790906845,35.4621680526216,36.8934025910735,NA,NA,NA,NA,NA,NA,NA
"Suecia",33.7460817823863,33.0746565985816,32.2388951418313,32.8514182973038,33.6483546262204,33.1398459569863,32.2752649172723,32.0128701510191,31.7109373072677,31.7036603974685,NA
"Ucrania",40.7490131009344,41.054823939682,38.2715803417101,41.0699602539815,40.1985260695142,43.5407000374941,37.3687532184352,33.5044167207813,33.5763042908533,33.4237021755197,NA
"Suiza",17.0577861926536,16.9243755440245,16.8020318335147,16.7714628894453,16.9821582569977,16.8680161149853,17.1474099339511,17.4059664265416,17.3272347732316,16.9715587456091,NA
"República Eslovaca",41.9167711240469,39.850496154052,39.4125768434965,39.2497589469421,40.163764714996,40.2043916469838,40.9822385906963,40.6337187470149,38.9790527953517,39.2388117643992,NA
"Kazajstán",NA,16.4678319854926,15.2070759191101,15.7960435478034,14.6089815385558,15.308914994467,15.487142712709,16.3309403041021,19.0261392086365,14.7050433078792,NA
"Turquía",35.954456663932,33.555802541669,30.9997187970082,30.3208546216514,29.9897262161508,29.8946173787491,29.0337534229183,30.8362109711827,31.8874573982371,33.8592246393793,NA
"Argentina",NA,NA,NA,NA,NA,24.5697808575806,25.0083932347048,26.1799164832469,24.3177753979683,22.9037266732302,NA
"Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brasil",26.3370727562558,30.837674179644,31.3265453270849,30.1777956851509,30.206540973065,31.3787747867243,36.1580527182412,35.6756739650237,36.2607002821838,36.0253956631767,NA
"Chile",21.4105884815161,20.5034467032784,19.9142467070088,20.2641879515902,20.3564478787284,20.9037099179944,21.6509385484598,22.1744187256156,22.3608986596334,22.4034732087337,NA
"Colombia",24.7198290039544,25.4451813984976,24.2602192117168,25.0564199532674,33.3069422040629,30.1625917691368,26.8156770552217,28.6308350994839,28.6581044820949,27.6911874809692,NA
"Costa Rica",24.8934436108263,25.8816644617791,25.6787194998169,26.3681462384134,27.1598702585319,27.4963355152568,29.4233449364111,27.9489217330332,26.4189330567722,30.0206153771698,NA
"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Salvador",25.8533021392349,24.1457068516912,24.8896026678663,22.9023660338539,22.9957709972261,22.7701911931858,22.7635271821578,23.2438676602391,24.8950073840827,24.692788885904,NA
"Guatemala",12.4183951936855,12.6520335536405,12.5370554105644,12.9637204898505,12.826262206735,12.4240096080884,11.8409378882375,11.7886913427294,11.6851833950582,11.6353165367013,NA
"Haití",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",23.6076191388379,22.7480069231437,22.5041523742209,23.4992682867094,23.8938403917359,24.2419177349486,21.9760874717835,NA,NA,NA,NA
"México",21.570012088237,21.4036567856766,21.7321476834057,21.8738236696411,21.5513225621164,21.7948324589865,21.6306984045454,20.9755798881998,20.4325305175785,20.4492381899093,NA
"Nicaragua",15.4974198897098,14.9932255872977,14.9751699449314,15.2289367986193,15.0906897116341,15.4277307615911,15.9243286883013,16.393826946172,16.5222279336946,16.7974158589373,NA
"Panamá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",12.5851822945979,11.8486088687409,13.0990809509277,15.6987675373286,14.4752180675633,14.7467321129033,16.1906427761234,15.4367001508115,15.6229634720313,15.0235109928113,NA
"Perú",18.4835822470063,17.8223398948007,17.6278849212839,17.9177884982323,18.9583513319003,20.5114219115948,20.5675823700928,19.1880269352898,20.0177030282009,19.7554220783453,NA
"República Dominicana",15.0945344554396,14.2087670401056,14.01591428631,15.8349209840577,15.4533387569344,15.6419047052342,15.2054975503708,16.1490037375406,16.0194816375391,15.7045521406131,NA
"Uruguay",29.1331671790137,29.4201321693968,29.1115608966734,30.5123263634617,31.2069920616521,31.7826831454525,32.0218906302593,38.4252045730491,34.122498714824,34.9911081522543,NA
"Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
